Time (s),Main Avg Power (mW)
0.1296,11.869
0.1298,10.608
0.1300,10.285
0.1302,10.339
0.1304,10.407
0.1306,11.129
0.1308,11.042
0.1310,10.974
0.1312,10.048
0.1314,11.507
0.1316,9.853
0.1318,18.460
0.1320,9.896
0.1322,11.642
0.1324,9.834
0.1326,9.626
0.1328,11.869
0.1330,10.577
0.1332,11.407
0.1334,9.605
0.1336,11.709
0.1338,10.894
0.1340,11.906
0.1342,9.793
0.1344,10.937
0.1346,10.682
0.1348,10.915
0.1350,18.005
0.1352,9.921
0.1354,10.942
0.1356,10.364
0.1358,11.987
0.1360,10.334
0.1362,11.439
0.1364,9.992
0.1366,10.246
0.1368,11.500
0.1370,10.651
0.1372,11.330
0.1374,9.977
0.1376,10.794
0.1378,10.804
0.1380,11.840
0.1382,16.604
0.1384,9.778
0.1386,10.890
0.1388,10.258
0.1390,12.322
0.1392,9.694
0.1394,10.011
0.1396,10.885
0.1398,10.228
0.1400,12.342
0.1402,10.617
0.1404,11.462
0.1406,13.356
0.1408,11.141
0.1410,11.676
0.1412,11.201
0.1414,16.328
0.1416,10.398
0.1418,10.425
0.1420,12.083
0.1422,10.370
0.1424,11.072
0.1426,10.380
0.1428,10.040
0.1430,12.172
0.1432,10.620
0.1434,11.145
0.1436,10.369
0.1438,10.680
0.1440,11.493
0.1442,11.351
0.1444,16.298
0.1446,9.637
0.1448,11.079
0.1450,11.389
0.1452,11.559
0.1454,9.956
0.1456,11.329
0.1458,10.090
0.1460,12.004
0.1462,10.141
0.1464,11.218
0.1466,10.191
0.1468,11.033
0.1470,10.122
0.1472,10.711
0.1474,11.812
0.1476,16.210
0.1478,11.262
0.1480,9.955
0.1482,11.914
0.1484,11.249
0.1486,9.794
0.1488,11.122
0.1490,9.914
0.1492,12.986
0.1494,9.788
0.1496,10.516
0.1498,10.189
0.1500,9.915
0.1502,11.927
0.1504,10.141
0.1506,11.348
0.1508,16.228
0.1510,11.126
0.1512,10.317
0.1514,11.707
0.1516,10.561
0.1518,10.307
0.1520,10.447
0.1522,10.469
0.1524,11.897
0.1526,10.007
0.1528,10.705
0.1530,10.268
0.1532,12.311
0.1534,11.973
0.1536,10.332
0.1538,11.721
0.1540,16.358
0.1542,11.355
0.1544,11.639
0.1546,11.027
0.1548,10.051
0.1550,10.976
0.1552,10.846
0.1554,11.243
0.1556,10.745
0.1558,10.255
0.1560,11.170
0.1562,9.419
0.1564,12.711
0.1566,10.575
0.1568,11.535
0.1570,15.877
0.1572,11.138
0.1574,11.788
0.1576,11.004
0.1578,10.302
0.1580,9.960
0.1582,10.976
0.1584,11.404
0.1586,11.552
0.1588,9.897
0.1590,11.654
0.1592,9.958
0.1594,12.261
0.1596,9.897
0.1598,11.698
0.1600,10.033
0.1602,17.741
0.1604,10.097
0.1606,11.293
0.1608,11.447
0.1610,10.410
0.1612,11.296
0.1614,10.228
0.1616,12.780
0.1618,10.392
0.1620,10.021
0.1622,10.937
0.1624,10.004
0.1626,12.741
0.1628,10.392
0.1630,11.203
0.1632,10.087
0.1634,17.532
0.1636,11.182
0.1638,11.419
0.1640,10.383
0.1642,10.509
0.1644,10.299
0.1646,11.233
0.1648,11.825
0.1650,10.487
0.1652,11.407
0.1654,9.293
0.1656,12.556
0.1658,11.181
0.1660,11.493
0.1662,9.074
0.1664,13.201
0.1666,14.091
0.1668,10.846
0.1670,10.915
0.1672,10.181
0.1674,11.030
0.1676,10.723
0.1678,11.869
0.1680,10.213
0.1682,11.004
0.1684,10.646
0.1686,10.103
0.1688,12.408
0.1690,10.510
0.1692,11.311
0.1694,9.490
0.1696,17.359
0.1698,11.580
0.1700,10.693
0.1702,11.159
0.1704,9.992
0.1706,11.207
0.1708,11.618
0.1710,11.624
0.1712,9.428
0.1714,11.639
0.1716,10.009
0.1718,11.503
0.1720,11.181
0.1722,10.528
0.1724,11.218
0.1726,10.224
0.1728,18.428
0.1730,10.137
0.1732,11.609
0.1734,10.199
0.1736,10.512
0.1738,10.967
0.1740,11.210
0.1742,11.315
0.1744,9.720
0.1746,10.912
0.1748,10.538
0.1750,12.510
0.1752,10.410
0.1754,10.299
0.1756,11.218
0.1758,9.626
0.1760,19.204
0.1762,10.333
0.1764,10.826
0.1766,9.509
0.1768,11.500
0.1770,11.439
0.1772,11.943
0.1774,9.627
