Time (s),Main Avg Power (mW)
0.1916,11.355
0.1918,11.287
0.1920,16.525
0.1922,10.850
0.1924,13.559
0.1926,10.883
0.1928,10.385
0.1930,12.743
0.1932,10.305
0.1934,12.217
0.1936,12.507
0.1938,9.811
0.1940,12.953
0.1942,10.599
0.1944,11.198
0.1946,11.905
0.1948,10.927
0.1950,12.704
0.1952,16.956
0.1954,10.999
0.1956,13.267
0.1958,10.447
0.1960,11.228
0.1962,11.650
0.1964,11.621
0.1966,11.336
0.1968,11.754
0.1970,10.953
0.1972,11.801
0.1974,11.708
0.1976,10.047
0.1978,12.625
0.1980,11.444
0.1982,17.052
0.1984,12.015
0.1986,9.632
0.1988,12.669
0.1990,11.185
0.1992,11.345
0.1994,33.744
0.1996,12.476
0.1998,12.902
0.2000,10.955
0.2002,11.256
0.2004,12.673
0.2006,11.215
0.2008,11.123
0.2010,11.737
0.2012,13.666
0.2014,20.522
0.2016,22.332
0.2018,23.125
0.2020,32.237
0.2022,32.569
0.2024,32.559
0.2026,32.943
0.2028,33.002
0.2030,32.965
0.2032,33.724
0.2034,31.188
0.2036,35.537
0.2038,40.520
0.2040,44.373
0.2042,55.003
0.2044,56.288
0.2046,57.897
0.2048,156.931
0.2050,256.525
0.2052,278.671
0.2054,273.134
0.2056,288.015
0.2058,293.474
0.2060,289.704
0.2062,293.435
0.2064,289.783
0.2066,293.474
0.2068,289.743
0.2070,287.898
0.2072,291.549
0.2074,273.134
0.2076,280.554
0.2078,293.435
0.2080,291.549
0.2082,293.435
0.2084,454.362
0.2086,293.474
0.2088,300.816
0.2090,300.857
0.2092,310.044
0.2094,319.315
0.2096,315.581
0.2098,313.735
0.2100,315.581
0.2102,313.693
0.2104,315.623
0.2106,313.735
0.2108,315.581
0.2110,313.735
0.2112,317.383
0.2114,354.384
0.2116,378.276
0.2118,411.714
0.2120,476.139
0.2122,413.336
0.2124,402.264
0.2126,402.264
0.2128,431.847
0.2130,468.694
0.2132,465.066
0.2134,456.024
