Time (s),Main Avg Power (mW)
0.1162,825.050
0.1164,822.982
0.1166,856.196
0.1168,848.815
0.1170,826.448
0.1172,824.715
0.1174,824.827
0.1176,826.896
0.1178,823.428
0.1180,830.925
0.1182,837.857
0.1184,826.784
0.1186,845.125
0.1188,852.390
0.1190,826.672
0.1192,828.517
0.1194,828.405
0.1196,837.970
0.1198,836.125
0.1200,835.898
0.1202,832.320
0.1204,832.320
0.1206,841.434
0.1208,858.041
0.1210,841.548
0.1212,846.970
0.1214,846.970
0.1216,824.715
0.1218,822.982
0.1220,821.359
0.1222,823.093
0.1224,824.827
0.1226,870.958
0.1228,850.776
0.1230,821.247
0.1232,824.715
0.1234,824.715
0.1236,826.672
0.1238,793.458
0.1240,751.118
0.1242,776.956
0.1244,830.475
0.1246,837.970
0.1248,848.930
0.1250,828.517
0.1252,821.136
0.1254,856.196
0.1256,826.672
0.1258,848.815
0.1260,846.855
0.1262,819.513
0.1264,802.684
0.1266,812.020
0.1268,846.970
0.1270,832.208
0.1272,815.711
0.1274,800.839
0.1276,804.529
0.1278,824.715
0.1280,826.224
0.1282,817.446
0.1284,815.601
0.1286,841.548
0.1288,863.811
0.1290,843.393
0.1292,821.359
0.1294,813.755
0.1296,823.093
0.1298,821.247
0.1300,811.800
0.1302,798.993
0.1304,804.529
0.1306,830.587
0.1308,839.703
0.1310,832.320
0.1312,827.120
0.1314,858.041
0.1316,836.125
0.1318,822.982
0.1320,826.448
0.1322,824.827
0.1324,821.025
0.1326,826.672
0.1328,841.434
0.1330,856.312
0.1332,834.279
0.1334,828.630
0.1336,827.120
0.1338,832.320
0.1340,824.827
0.1342,824.938
0.1344,822.982
0.1346,832.208
0.1348,832.208
0.1350,858.274
0.1352,828.630
0.1354,823.093
0.1356,824.380
0.1358,828.630
0.1360,826.672
0.1362,830.587
0.1364,826.448
0.1366,824.827
0.1368,820.914
0.1370,854.351
0.1372,834.166
0.1374,821.136
0.1376,826.896
0.1378,828.630
0.1380,826.784
0.1382,821.136
0.1384,821.247
0.1386,826.672
0.1388,833.940
0.1390,843.279
0.1392,835.898
0.1394,821.247
0.1396,819.513
0.1398,825.050
0.1400,819.402
0.1402,817.446
0.1404,747.529
0.1406,749.070
0.1408,817.446
0.1410,854.235
0.1412,848.815
0.1414,815.601
0.1416,828.742
0.1418,819.513
0.1420,823.093
0.1422,837.857
0.1424,850.660
0.1426,828.517
