--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  579): 127315 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 127316 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  579): 127320 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 127322 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 127329 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  579): 127331 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 127333 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  579): 127352 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  579): 127352 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 127352 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 127360 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  579): 127372 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 127378 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 127379 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 127394 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 127738 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  579): 127777 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  579): 127778 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  579): 127778 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  579): 127778 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  579): 127779 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  579): 128857 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f572a8
V/DBox    (  579): 128874 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  579): 128878 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  579): 128880 + Lcom/facebook/katana/FacebookListActivity; onPause
