--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 185129 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185156 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185156 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185183 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185183 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185211 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185211 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185240 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185241 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185268 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185268 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185310 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185313 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185333 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185338 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 186084 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 186086 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 186096 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 186102 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 186146 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 186146 - Lcom/fsck/k9/activity/MessageList$1; onTouch
