--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 969706 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 969724 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  400): 969725 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 969727 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 969753 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  400): 969753 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 969754 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 969756 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 969793 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 973686 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@4637cb40
V/DBox    (  400): 973741 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  400): 973741 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  400): 973742 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  400): 973742 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  400): 973742 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  400): 973750 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  400): 973750 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 973753 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 973822 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  400): 973823 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 973823 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 973825 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 973883 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 976689 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464ff0b8
V/DBox    (  400): 976692 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 976703 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464ff0b8
V/DBox    (  400): 976704 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 976731 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464ff0b8
V/DBox    (  400): 976732 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 976762 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464ff0b8
V/DBox    (  400): 976764 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 976804 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464ff0b8
V/DBox    (  400): 976809 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 976813 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464ff0b8
V/DBox    (  400): 976816 - Lcom/fsck/k9/activity/MessageList$1; onTouch
