--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 273680 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273684 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273707 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273709 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273740 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273742 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273767 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273768 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273776 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273777 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 275045 + Lcom/fsck/k9/activity/MessageList; onContextItemSelected Select
V/DBox    (  400): 275054 - Lcom/fsck/k9/activity/MessageList; onContextItemSelected
V/DBox    (  400): 276071 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 276074 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 276085 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 276086 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 276111 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 276115 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 276141 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 276144 - Lcom/fsck/k9/activity/MessageList$1; onTouch
