* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): 1148454 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  360): 1148484 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1148488 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1148489 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1148515 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 1148516 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 1148518 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 1148593 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 1148594 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 1148596 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 1148601 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 1148662 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 1151082 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@441411c8
V/DBox    (  360): 1151107 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  360): 1151108 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 1151110 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 1151112 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 1151114 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 1151127 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 1151128 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1151130 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1151251 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 1151252 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1151253 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1151255 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1151320 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1152808 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4419e978
V/DBox    (  360): 1152829 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  360): 1154330 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
V/DBox    (  360): 1154332 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->connectV
