--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    ( 1010): 17693459 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17693461 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17693470 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17693791 + Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    ( 1010): 17693795 - Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    ( 1010): 17694889 + Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@46297350
V/DBox    ( 1010): 17694896 - Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu
V/DBox    ( 1010): 17699359 + Lcom/facebook/katana/HomeActivity; onOptionsItemSelected Settings
V/DBox    ( 1010): 17699384 - Lcom/facebook/katana/HomeActivity; onOptionsItemSelected
V/DBox    ( 1010): 17699413 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17699414 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17699414 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17699415 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17699429 + Lcom/facebook/katana/SettingsActivity; onCreate
V/DBox    ( 1010): 17699468 - Lcom/facebook/katana/SettingsActivity; onCreate
V/DBox    ( 1010): 17699469 + Lcom/facebook/katana/SettingsActivity; onResume
V/DBox    ( 1010): 17699480 - Lcom/facebook/katana/SettingsActivity; onResume
V/DBox    ( 1010): 17702183 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17702185 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17702186 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17702196 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17702229 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17702243 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17702243 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17702263 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17703532 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@46176088
V/DBox    ( 1010): 17703544 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    ( 1010): 17703548 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17703550 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17703552 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17703554 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17703576 + Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    ( 1010): 17703616 + Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    ( 1010): 17703628 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@46167100
V/DBox    ( 1010): 17703628 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    ( 1010): 17703651 - Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    ( 1010): 17703672 - Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    ( 1010): 17703672 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    ( 1010): 17703673 + Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    ( 1010): 17703673 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17703674 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17703754 - Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    ( 1010): 17703754 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    ( 1010): 17703799 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@46167100
V/DBox    ( 1010): 17703800 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    ( 1010): 17703867 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17703875 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17708475 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    ( 1010): 17708476 + Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    ( 1010): 17708478 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17708482 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17708489 - Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    ( 1010): 17708491 - Lcom/facebook/katana/FacebookTabActivity; onPause
