--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  584): 168830 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  584): 168830 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  584): 168833 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  584): 168842 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 168902 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 168960 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 168963 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 169427 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 169428 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 173552 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@43fded20
V/DBox    (  584): 173564 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  584): 173566 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 173567 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 173568 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  584): 173572 + Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  584): 173607 - Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  584): 173607 + Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  584): 173607 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 173608 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 173611 - Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  584): 173614 - Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick
V/DBox    (  584): 173641 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 173658 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 174515 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 174518 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 176690 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@43f457e0
V/DBox    (  584): 176693 + Lcom/facebook/katana/AlbumsActivity; onSaveInstanceState
V/DBox    (  584): 176695 - Lcom/facebook/katana/AlbumsActivity; onSaveInstanceState
V/DBox    (  584): 176697 + Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  584): 176698 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 176699 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 176702 - Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  584): 176703 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  584): 176704 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 176706 - Lcom/facebook/katana/FacebookListActivity; onResume
