* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  771): 5708164 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5708164 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5708173 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5708293 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@46057d68
V/DBox    (  771): 5708294 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  771): 5708365 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@46057d68
V/DBox    (  771): 5708367 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  771): 5708434 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@460592d8
V/DBox    (  771): 5708435 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708437 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@460592d8
V/DBox    (  771): 5708437 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708440 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46050f20
V/DBox    (  771): 5708440 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708524 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46050f20
V/DBox    (  771): 5708525 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708526 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@460592d8
V/DBox    (  771): 5708527 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708529 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@460592d8
V/DBox    (  771): 5708530 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708530 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@4606f908
V/DBox    (  771): 5708533 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708536 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@4606f908
V/DBox    (  771): 5708537 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708659 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@460592d8
V/DBox    (  771): 5708660 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708663 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@460592d8
V/DBox    (  771): 5708664 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708670 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46050f20
V/DBox    (  771): 5708670 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5708729 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@46050f20
V/DBox    (  771): 5708733 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  771): 5708736 + Lcom/facebook/katana/HomeActivity; onPause
