* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  323): 17993053 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  323): 17993079 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  323): 17995124 + Lcom/fsck/k9/activity/Accounts; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4408c5f8
V/DBox    (  323): 17995146 - Lcom/fsck/k9/activity/Accounts; onCreateOptionsMenu
V/DBox    (  323): 17996753 + Lcom/fsck/k9/activity/Accounts; onOptionsItemSelected Compose
V/DBox    (  323): 17996791 - Lcom/fsck/k9/activity/Accounts; onOptionsItemSelected
V/DBox    (  323): 17996792 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  323): 17996793 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  323): 17996794 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  323): 17996794 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  323): 17996808 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  323): 17996809 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 17996812 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 17996870 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  323): 17996871 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 17996872 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17996874 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17996874 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 17997975 + Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@440bf4b0
V/DBox    (  323): 17997980 - Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu
V/DBox    (  323): 17999670 + Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected Add attachment
V/DBox    (  323): 17999677 - Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected
V/DBox    (  323): 17999680 + Lcom/fsck/k9/activity/MessageCompose; onSaveInstanceState
V/DBox    (  323): 17999712 - Lcom/fsck/k9/activity/MessageCompose; onSaveInstanceState
V/DBox    (  323): 17999713 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 17999713 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 18001666 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 18001666 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 18001667 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 18001671 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 18003836 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 18003837 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 18003864 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  323): 18003864 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  323): 18003867 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  323): 18003891 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  323): 18004608 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  323): 18004608 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  323): 18006853 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  323): 18006854 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  323): 18006866 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  323): 18006902 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  323): 18006915 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  323): 18006916 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 18006918 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 18006969 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  323): 18006970 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  323): 18006971 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 18006975 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 18007047 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  323): 18009118 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4402e368
V/DBox    (  323): 18009159 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  323): 18011271 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  323): 18011285 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  323): 18011287 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  323): 18011288 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  323): 18011304 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  323): 18011304 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  323): 18011307 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  323): 18011325 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  323): 18011326 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  323): 18011327 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  323): 18011328 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  323): 18011450 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  323): 18013796 + Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@440a24b8
V/DBox    (  323): 18013808 - Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu
V/DBox    (  323): 18023490 + Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected Compose
V/DBox    (  323): 18023500 - Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected
V/DBox    (  323): 18023501 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  323): 18023505 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  323): 18023506 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  323): 18023506 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  323): 18023521 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  323): 18023522 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 18023524 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 18023684 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  323): 18023685 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 18023686 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 18023688 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 18023688 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 18024808 + Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44089948
V/DBox    (  323): 18024820 - Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu
V/DBox    (  323): 18025371 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 18025374 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 18025496 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 18025496 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 18025994 + Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected Discard
V/DBox    (  323): 18025996 - Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected
V/DBox    (  323): 18026009 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 18026010 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 18026027 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  323): 18026028 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  323): 18026031 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  323): 18026187 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  323): 18032033 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  323): 18032034 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  852): 18121451 + Lcom/fsck/k9/provider/AttachmentProvider; onCreate
V/DBox    (  852): 18121455 - Lcom/fsck/k9/provider/AttachmentProvider; onCreate
V/DBox    (  852): 18121460 + Lcom/fsck/k9/K9; onCreate
V/DBox    (  852): 18121548 - Lcom/fsck/k9/K9; onCreate
V/DBox    (  852): 18121556 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  852): 18121559 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  852): 18121573 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  852): 18121625 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  852): 18121626 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  852): 18121626 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  852): 18121676 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  852): 18121677 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  852): 18121679 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  852): 18121947 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  852): 18121975 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  852): 18121976 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18121977 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18122043 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  852): 18122146 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  852): 18122146 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): 18129513 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44018e10
V/DBox    (  852): 18129551 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  852): 18130769 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  852): 18130932 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  852): 18130950 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  852): 18130952 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  852): 18130952 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  852): 18130953 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  852): 18130970 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  852): 18130971 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  852): 18130973 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  852): 18131052 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  852): 18131052 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  852): 18131053 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18131056 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18131057 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  852): Ljava/net/Socket;->closeV
V/DBox    (  852): Ljava/net/Socket;->closeV
V/DBox    (  852): 18134376 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  852): 18134377 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  852): 18134385 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  852): 18134385 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18134388 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18134405 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): 18145365 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
V/DBox    (  852): 18145367 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  852): 18147321 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
V/DBox    (  852): 18147332 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  852): 18149613 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
V/DBox    (  852): 18149614 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  852): 18153462 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  852): 18153528 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  852): 18153529 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  852): 18153530 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  852): 18153549 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  852): 18153550 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  852): 18153554 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  852): 18153582 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  852): 18153583 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  852): 18153584 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  852): 18153635 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  852): 18153646 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  852): 18155717 + Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@440b2d98
V/DBox    (  852): 18155761 - Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu
V/DBox    (  852): 18157110 + Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected Check mail
V/DBox    (  852): 18157115 - Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected
V/DBox    (  852): Ljava/net/Socket;->connectV
V/DBox    (  852): 18167308 + Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected Compose
V/DBox    (  852): 18167345 - Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected
V/DBox    (  852): 18167353 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  852): 18167354 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  852): 18167355 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  852): 18167369 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  852): 18167402 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  852): 18167404 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  852): 18167407 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  852): 18167525 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  852): 18167526 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  852): 18167526 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18167533 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18167534 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  852): 18170480 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  852): 18170484 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  852): 18170517 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  852): 18170519 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  852): 18170526 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  852): 18170575 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  852): 18171454 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  852): 18171456 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  852): 18181681 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  852): 18181682 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  852): 18181845 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  852): 18181845 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  852): 18182728 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  852): 18182750 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  852): 18182760 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  852): 18182843 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  852): 18182857 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  852): 18182857 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  852): 18182872 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  852): 18182962 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  852): 18182962 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  852): 18182963 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18182965 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  852): 18183016 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  852): 18184492 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  852): 18184493 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  852): 18185920 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  852): 18185921 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  852): 18185928 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  852): 18185955 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  852): 18185970 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  852): 18185971 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  852): 18185975 - Lcom/fsck/k9/K9Activity; onCreate
