* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  648): 617835 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 617837 - Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  648): 617839 - Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick
V/DBox    (  648): 617874 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 617885 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 621418 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@44058270
V/DBox    (  648): 621424 + Lcom/facebook/katana/AlbumsActivity; onSaveInstanceState
V/DBox    (  648): 621427 - Lcom/facebook/katana/AlbumsActivity; onSaveInstanceState
V/DBox    (  648): 621429 + Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  648): 621431 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 621433 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 621435 - Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  648): 621438 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 621440 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 621443 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 621445 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 621449 - Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick
V/DBox    (  648): 624542 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  648): 624542 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  648): 624544 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  648): 624561 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 624561 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 624562 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  648): 624562 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  648): 624563 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  648): 624574 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 624574 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 624575 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 624586 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 624607 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 624712 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 624713 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 624722 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 624963 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  648): 624964 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  648): 624968 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  648): 624969 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  648): 624969 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  648): 624970 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  648): 627997 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f36d00
V/DBox    (  648): 628005 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  648): 628007 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 628007 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 628008 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 628008 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 628036 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  648): 628156 + Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  648): 628177 - Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  648): 628186 - Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  648): 628187 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 628187 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  648): 628191 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  648): 628192 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 636609 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@43fa5dd8
V/DBox    (  648): 636612 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  648): 636615 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  648): 636616 + Lcom/facebook/katana/UserSearchResultsActivity; onCreate
V/DBox    (  648): 636639 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@44048990
V/DBox    (  648): 636640 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
V/DBox    (  648): 636642 - Lcom/facebook/katana/UserSearchResultsActivity; onCreate
V/DBox    (  648): 636643 + Lcom/facebook/katana/UserSearchResultsActivity; onResume
V/DBox    (  648): 636646 - Lcom/facebook/katana/UserSearchResultsActivity; onResume
V/DBox    (  648): 636660 - Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick
V/DBox    (  648): 636701 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@44048990
V/DBox    (  648): 636702 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
V/DBox    (  648): 637906 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  648): 637909 + Lcom/facebook/katana/UserSearchResultsActivity; onPause
V/DBox    (  648): 637913 - Lcom/facebook/katana/UserSearchResultsActivity; onPause
V/DBox    (  648): 637918 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  648): 637938 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 637938 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 637939 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 637948 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 637959 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 637967 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 637968 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 637981 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 638288 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@44048990
V/DBox    (  648): 638288 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
V/DBox    (  648): 638289 + Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  648): 638291 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@44048990
V/DBox    (  648): 638291 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
V/DBox    (  648): 638292 - Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  648): 641319 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f336e0
V/DBox    (  648): 641331 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  648): 641334 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 641335 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 641337 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 641338 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 641362 + Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  648): 641383 - Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  648): 641383 + Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  648): 641384 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 641384 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 641388 - Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  648): 641393 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 641409 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 643480 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  648): 643483 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 643485 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 643486 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  648): 643547 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 643549 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 643549 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 643566 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 643583 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 643598 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 643599 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 643619 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 645829 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f482e0
V/DBox    (  648): 645842 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  648): 645846 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 645848 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 645849 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 645852 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 645869 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  648): 645906 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  648): 645929 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  648): 645936 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  648): 645937 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  648): 645938 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 645938 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 645939 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 645939 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 645943 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 645944 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 645945 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  648): 647221 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  648): 647223 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  648): 647223 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  648): 647224 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 647224 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 647225 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  648): 647225 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  648): 647226 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  648): 647245 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  648): 647266 + Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  648): 647279 - Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  648): 647286 + Lcom/facebook/katana/UserSearchResultsActivity; onCreate
V/DBox    (  648): 647296 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@44087cc0
V/DBox    (  648): 647297 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
V/DBox    (  648): 647298 - Lcom/facebook/katana/UserSearchResultsActivity; onCreate
V/DBox    (  648): 647302 - Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  648): 647303 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 647304 + Lcom/facebook/katana/UserSearchResultsActivity; onResume
V/DBox    (  648): 647305 - Lcom/facebook/katana/UserSearchResultsActivity; onResume
V/DBox    (  648): 647308 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 647324 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@44087cc0
V/DBox    (  648): 647325 - Lcom/facebook/katana/UserSearchResultsActivity; onScroll
V/DBox    (  648): 647569 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  648): 647571 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  648): 651556 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  648): 651559 + Lcom/facebook/katana/UserSearchResultsActivity; onPause
V/DBox    (  648): 651564 - Lcom/facebook/katana/UserSearchResultsActivity; onPause
V/DBox    (  648): 651565 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  648): 651600 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  648): 651601 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 651601 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 651601 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 651602 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 651604 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 651605 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 651605 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  648): 651876 + Lcom/facebook/katana/UserSearchResultsActivity; onScroll android.widget.ListView@44087cc0
