--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  564): 78131 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 78137 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 78140 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 78150 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  564): 78240 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  564): 78309 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  564): 78322 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  564): 78323 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  564): 78323 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  564): 78324 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  564): 78324 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 78325 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 78331 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  564): 78331 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  564): 78335 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  564): 78339 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 78373 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 78450 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 78456 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 79640 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  564): 79641 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  564): 79641 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  564): 79642 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 79642 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 79643 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  564): 79643 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  564): 79644 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  564): 79668 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 79675 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 79675 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 79687 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 79786 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 79792 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 79793 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 79807 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 80048 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  564): 80049 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  564): 80049 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  564): 80054 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  564): 80055 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  564): 80056 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  564): 80713 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f47978
V/DBox    (  564): 80725 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  564): 80728 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 80729 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 80732 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 80733 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 80748 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  564): 80774 + Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  564): 80797 - Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  564): 80805 - Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  564): 80806 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  564): 80806 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  564): 80811 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  564): 80812 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  564): 81897 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  564): 81898 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  564): 81898 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  564): 81899 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  564): 81912 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 81912 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 81913 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 81923 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 81997 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 82004 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 82006 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 82015 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 82335 + Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  564): 82341 - Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  564): 83274 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f2fb00
V/DBox    (  564): 83294 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  564): 83296 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 83298 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 83299 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 83302 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 83334 + Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  564): 83413 - Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  564): 83414 + Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  564): 83414 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 83415 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 83418 - Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  564): 83424 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 83436 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 83504 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 83512 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 84335 + Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  564): 84336 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 84338 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 84339 - Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  564): 84436 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 84436 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 84437 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 84447 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 84523 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 84542 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 84543 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 84580 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 85258 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f30ce8
V/DBox    (  564): 85262 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  564): 85264 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 85265 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 85265 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 85266 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 85277 + Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  564): 85297 - Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  564): 85298 + Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  564): 85298 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 85299 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 85305 - Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  564): 85308 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 85332 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 86409 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  564): 86410 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 86413 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 86415 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  564): 86438 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 86440 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 86441 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 86461 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 86542 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 86570 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 86571 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 86590 - Lcom/facebook/katana/service/FacebookService; onStart
