--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 777401 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  566): 777406 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  566): 777406 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 784432 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 784434 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  566): 784435 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  566): 784442 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 784479 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 784481 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 784481 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 784491 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 784499 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 784508 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 784509 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 784524 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 784748 + Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  566): 784750 - Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  566): 787337 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43ffab30
V/DBox    (  566): 787342 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 787345 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 787347 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 787347 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 787348 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 787356 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 787381 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 787382 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 787382 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 787383 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 787388 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 798083 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 798084 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 798085 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 798114 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 798124 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 798124 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 798125 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 798134 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 798143 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 798153 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 798154 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 798167 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 798387 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 798389 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 798390 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 798390 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 802770 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@44052b70
V/DBox    (  566): 802788 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 802792 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 802793 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 802798 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 802799 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 802808 + Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  566): 802868 - Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  566): 802869 + Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  566): 802869 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 802870 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 802875 - Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  566): 802882 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 802899 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 803570 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 803573 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 805802 + Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  566): 805803 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 805803 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 805804 - Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  566): 805821 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 805822 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 805828 - Lcom/facebook/katana/FacebookListActivity; onResume
