--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  566): 89605 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 89606 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 89608 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 89641 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 90021 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 90037 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 90215 + Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  566): 90217 - Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  566): 91095 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 91181 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 91182 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 91183 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 91187 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 91516 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 91518 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  566): 91523 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 91525 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 91536 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 92122 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 94475 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 94476 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 94479 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 94484 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  566): 94488 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 94489 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 94494 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 94743 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 97875 + Lcom/facebook/katana/StreamActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44021970
V/DBox    (  566): 97875 - Lcom/facebook/katana/StreamActivity; onCreateOptionsMenu
V/DBox    (  566): 102404 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 102405 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 102405 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 102423 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 102434 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  566): 102544 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  566): 102544 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 102545 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 102545 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 102553 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 102556 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 102556 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 102557 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 102562 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 102563 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 102572 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 102572 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 102583 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 102753 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 102754 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 102755 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 102755 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 104795 + Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44013ac0
V/DBox    (  566): 104797 - Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu
V/DBox    (  566): 106158 + Lcom/facebook/katana/HomeActivity; onOptionsItemSelected Logout
V/DBox    (  566): 106185 - Lcom/facebook/katana/HomeActivity; onOptionsItemSelected
V/DBox    (  566): 108593 + Lcom/facebook/katana/HomeActivity$5; onClick android.app.AlertDialog@43f73e50
V/DBox    (  566): 108627 - Lcom/facebook/katana/HomeActivity$5; onClick
V/DBox    (  566): 108628 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 108633 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 109451 + Lcom/facebook/katana/platform/FacebookAuthenticationService; onCreate
V/DBox    (  566): 109451 - Lcom/facebook/katana/platform/FacebookAuthenticationService; onCreate
V/DBox    (  566): 109551 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 109568 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 109575 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 109575 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 109576 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 109576 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 109585 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  566): 109639 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  566): 109640 + Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  566): 109640 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 109641 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 109646 - Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  566): 126749 + Lcom/facebook/katana/LoginActivity; onClick android.widget.Button@4402c810
V/DBox    (  566): 126870 - Lcom/facebook/katana/LoginActivity; onClick
V/DBox    (  566): 126905 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 126907 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 126909 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 126923 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 128624 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 128638 + Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  566): 128639 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 128639 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 128640 - Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  566): 128650 + Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
V/DBox    (  566): 128695 - Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
V/DBox    (  566): 128697 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 128698 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 128843 + Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  566): 128844 - Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  566): 129590 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 129592 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 129596 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 129608 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  566): 129610 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 129613 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 129668 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130370 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130381 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130382 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130382 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130383 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130383 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130384 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130390 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130391 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130392 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130393 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130394 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130394 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 130400 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 131370 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 131371 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  566): 131374 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 131375 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 131400 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 131586 + Lcom/facebook/katana/SyncContactsSetupActivity; onClick android.widget.RelativeLayout@43f82f70
V/DBox    (  566): 131590 - Lcom/facebook/katana/SyncContactsSetupActivity; onClick
V/DBox    (  566): 132757 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 132985 + Lcom/facebook/katana/SyncContactsSetupActivity; onClick android.widget.Button@43f32350
