--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 1127280 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 1128567 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 1128568 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1128568 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1128582 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 1128596 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1128596 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1128596 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1128606 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1128616 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1128623 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1128624 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1128634 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1128853 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 1128854 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 1128855 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 1128855 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 1129512 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@440e6660
V/DBox    (  566): 1129523 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 1129526 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1129527 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1129529 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1129531 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1129553 + Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  566): 1129576 - Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  566): 1129577 + Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  566): 1129577 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1129578 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1129581 - Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  566): 1129585 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1129592 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1130650 + Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  566): 1130652 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1130653 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1130655 - Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  566): 1130676 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1130677 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1130679 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1130699 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1130715 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1130720 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1130720 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1130745 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1131583 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43fe5880
V/DBox    (  566): 1131591 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 1131594 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1131595 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1131597 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1131598 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1131621 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 1131701 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 1131702 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 1131702 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1131703 - Lcom/facebook/katana/FacebookListActivity; onResume
