* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  585): 86612 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 86613 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 86614 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 86630 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 86678 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 86712 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 86713 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 86740 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 87768 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f0df40
V/DBox    (  585): 87789 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  585): 87790 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 87796 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 87796 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 87797 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 87811 + Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  585): 87859 - Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  585): 87860 + Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  585): 87860 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 87861 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 87867 - Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  585): 87875 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 87903 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 90800 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  585): 90800 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 90801 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 90801 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  585): 90815 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 90816 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 90816 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 90826 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 90905 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 90910 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 90910 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 90922 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 92069 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f26498
V/DBox    (  585): 92081 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  585): 92087 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 92088 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 92089 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 92092 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 92113 + Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  585): 92127 - Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  585): 92128 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 92128 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 92132 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 92142 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 93402 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 93405 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 93449 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 93450 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 93452 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 93468 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 93514 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 93518 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 93520 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 93531 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 93807 + Lcom/facebook/katana/RequestsActivity; onDestroy
V/DBox    (  585): 93808 - Lcom/facebook/katana/RequestsActivity; onDestroy
V/DBox    (  585): 94760 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f498c0
V/DBox    (  585): 94769 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  585): 94771 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 94771 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 94787 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 94787 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 94800 + Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    (  585): 94866 + Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    (  585): 94887 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43fd8530
V/DBox    (  585): 94887 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  585): 94892 - Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    (  585): 94899 - Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    (  585): 94900 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  585): 94901 + Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    (  585): 94902 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 94902 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 94907 - Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    (  585): 94908 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  585): 94913 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43fd8530
V/DBox    (  585): 94914 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  585): 94941 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 94952 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 96742 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  585): 96743 + Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    (  585): 96743 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 96744 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 96744 - Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    (  585): 96745 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  585): 96766 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 96766 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 96766 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 96787 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 96867 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 96874 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 96875 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 96887 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 97115 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43fd8530
V/DBox    (  585): 97116 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  585): 97117 + Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    (  585): 97118 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43fd8530
V/DBox    (  585): 97119 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  585): 97129 - Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    (  585): 101906 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 101912 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 101944 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 101945 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 135643 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 135644 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 135646 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 135655 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 135732 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 135749 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 135750 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 135822 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 139408 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f47d08
V/DBox    (  585): 139417 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  585): 139420 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 139422 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 139423 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 139425 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 139440 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  585): 139482 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  585): 139503 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  585): 139509 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  585): 139509 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  585): 139510 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  585): 139510 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  585): 139511 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 139512 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 139515 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  585): 139516 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  585): 139519 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  585): 139663 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 139667 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 142997 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 143003 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 145165 + Lcom/facebook/katana/StreamActivity; onItemClick android.widget.ListView@442741f0
V/DBox    (  585): 145201 - Lcom/facebook/katana/StreamActivity; onItemClick
V/DBox    (  585): 145219 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  585): 145225 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  585): 145225 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  585): 145228 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 145229 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 145229 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  585): 145231 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  585): 145237 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  585): 145262 + Lcom/facebook/katana/FeedbackActivity; onCreate
V/DBox    (  585): 145305 - Lcom/facebook/katana/FeedbackActivity; onCreate
V/DBox    (  585): 145305 + Lcom/facebook/katana/FeedbackActivity; onResume
V/DBox    (  585): 145306 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 145306 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 145306 - Lcom/facebook/katana/FeedbackActivity; onResume
V/DBox    (  585): 145634 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  585): 145640 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  585): 148751 + Lcom/facebook/katana/FeedbackActivity; onPause
V/DBox    (  585): 148751 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 148751 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 148752 - Lcom/facebook/katana/FeedbackActivity; onPause
V/DBox    (  585): 148765 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  585): 148765 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  585): 148765 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  585): 148766 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 148766 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 148769 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  585): 148773 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  585): 148779 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  585): 149050 + Lcom/facebook/katana/FeedbackActivity; onDestroy
V/DBox    (  585): 149057 + Lcom/facebook/katana/FeedbackActivity$4; onFocusChange android.widget.EditText@43ff3cd0
V/DBox    (  585): 149061 - Lcom/facebook/katana/FeedbackActivity$4; onFocusChange
V/DBox    (  585): 149064 - Lcom/facebook/katana/FeedbackActivity; onDestroy
V/DBox    (  585): 150492 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  585): 150497 + Lcom/facebook/katana/FacebookTabActivity; onPause
