--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  401): 984237 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984264 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984264 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984291 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984293 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984321 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984322 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984348 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984349 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984379 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984382 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984404 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984405 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984438 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984440 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984462 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984462 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984487 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984487 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984515 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984515 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984543 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984544 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984572 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984573 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984576 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984577 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984863 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984867 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984874 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984878 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984904 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984906 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984958 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984964 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984982 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984983 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984992 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
