--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  401): 3233012 - Lcom/fsck/k9/activity/Accounts; onOptionsItemSelected
V/DBox    (  401): 3233014 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3233022 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3233023 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3233024 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3233053 + Lcom/fsck/k9/activity/setup/Prefs; onCreate
V/DBox    (  401): 3233054 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 3233064 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 3233205 - Lcom/fsck/k9/activity/setup/Prefs; onCreate
V/DBox    (  401): 3233206 + Lcom/fsck/k9/activity/setup/Prefs; onResume
V/DBox    (  401): 3233207 - Lcom/fsck/k9/activity/setup/Prefs; onResume
V/DBox    (  401): 3235953 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3235953 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3235956 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3235971 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3237427 + Lcom/fsck/k9/activity/Accounts; onCreateContextMenu com.android.internal.view.menu.ContextMenuBuilder@465fd7e8
V/DBox    (  401): 3237437 - Lcom/fsck/k9/activity/Accounts; onCreateContextMenu
V/DBox    (  401): 3239419 + Lcom/fsck/k9/activity/Accounts; onContextItemSelected Account settings
V/DBox    (  401): 3239458 - Lcom/fsck/k9/activity/Accounts; onContextItemSelected
V/DBox    (  401): 3239459 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3239460 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3239463 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3239464 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3239489 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 3239489 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 3239497 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 3239685 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 3239686 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 3239698 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 3260491 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 3260492 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 3260514 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3260514 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3260516 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): Ljava/net/Socket;->closeV
V/DBox    (  401): 3260545 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3260694 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 3260694 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 3290882 + Lcom/fsck/k9/activity/Accounts; onItemClick android.widget.ListView@4616d568
V/DBox    (  401): 3290942 - Lcom/fsck/k9/activity/Accounts; onItemClick
V/DBox    (  401): 3290943 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3290947 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3290948 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3290950 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3290991 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  401): 3290991 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 3290999 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 3291034 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  401): 3291034 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 3291035 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 3291036 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 3291277 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 3292659 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@46462f60
V/DBox    (  401): 3292693 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  401): 3295405 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
V/DBox    (  401): 3295410 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): 3300757 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 3300760 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 3300808 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3300808 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3300812 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3300821 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3304559 + Lcom/fsck/k9/activity/Accounts; onCreateContextMenu com.android.internal.view.menu.ContextMenuBuilder@4663c0f8
V/DBox    (  401): 3304566 - Lcom/fsck/k9/activity/Accounts; onCreateContextMenu
V/DBox    (  401): 3308185 + Lcom/fsck/k9/activity/Accounts; onContextItemSelected Account settings
V/DBox    (  401): 3308199 - Lcom/fsck/k9/activity/Accounts; onContextItemSelected
V/DBox    (  401): 3308222 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3308225 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3308226 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3308227 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3308249 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 3308249 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 3308255 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 3308464 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 3308466 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 3308472 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 3330985 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 3330987 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 3331019 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3331020 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3331022 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): Ljava/net/Socket;->closeV
V/DBox    (  401): 3331054 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): 3331467 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 3331468 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): Ljava/net/Socket;->connectV
