--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  401): 2350838 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2350839 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353203 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353207 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353232 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353241 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353279 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353280 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353298 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353300 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353317 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353317 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353345 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353347 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353374 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353374 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353375 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353376 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353923 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353929 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353948 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353952 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353986 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353986 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2353995 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2353996 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2354135 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@4625b9f0
V/DBox    (  401): 2354219 - Lcom/fsck/k9/activity/MessageList; onItemClick
V/DBox    (  401): 2354219 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  401): 2354225 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
