--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  985): 902205 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902205 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902206 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902207 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902208 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902209 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902211 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902211 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902233 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902234 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902235 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902238 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902244 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902245 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902251 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902253 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902255 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902257 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902259 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902259 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902263 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902269 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902273 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902274 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902275 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902276 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902277 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902278 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902281 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902283 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902289 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902291 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902293 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902294 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902295 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902297 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902299 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902307 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902308 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902309 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902311 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902312 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902314 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902316 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902322 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902324 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902326 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902328 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902328 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902329 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902333 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902338 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902340 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902341 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902341 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902342 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902342 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902343 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902343 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902344 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902344 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902345 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902345 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902346 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902346 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902347 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902347 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902348 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902348 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902349 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902349 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902349 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902367 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902367 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902369 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902370 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902372 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902374 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902377 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902378 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902382 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902383 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902384 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902385 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902386 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902387 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902388 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902389 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902391 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902393 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902394 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902395 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902396 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902397 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902398 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902399 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902401 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902401 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902403 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902405 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902406 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902407 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902410 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902411 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902413 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902415 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902417 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902419 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902420 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902421 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902422 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902424 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902425 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902426 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902426 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902427 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902428 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902429 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902430 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902431 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902433 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902492 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902493 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902494 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902495 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902496 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902497 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902498 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902505 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902506 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902506 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902507 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902508 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902509 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902510 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902511 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902516 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902516 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902517 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902518 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902521 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902522 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902523 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902524 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902527 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902528 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902530 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902532 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902532 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902534 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902536 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902538 - Lcom/facebook/katana/service/FacebookService; onStart
