Time (s),Main Avg Power (mW)
0.0764,1076.959
0.0766,1047.625
0.0768,1041.215
0.0770,1049.595
0.0772,1060.070
0.0774,1055.880
0.0776,1047.625
0.0778,1049.720
0.0780,1047.625
0.0782,1045.405
0.0784,1047.500
0.0786,1064.387
0.0788,1066.355
0.0790,1051.690
0.0792,1060.196
0.0794,1062.292
0.0796,1058.101
0.0798,1058.101
0.0800,1066.482
0.0802,1070.673
0.0804,1061.912
0.0806,1062.292
0.0808,1068.577
0.0810,1066.355
0.0812,1026.550
0.0814,1032.835
0.0816,1075.120
0.0818,1049.720
0.0820,1066.355
0.0822,1104.197
0.0824,1083.244
0.0826,1087.305
0.0828,1087.435
0.0830,1100.006
0.0832,1093.982
0.0834,1095.424
0.0836,1099.875
0.0838,1100.006
0.0840,1091.495
0.0842,1093.590
0.0844,1106.556
0.0846,1100.006
0.0848,1081.149
0.0850,1060.196
0.0852,1064.641
0.0854,1049.595
0.0856,1049.345
0.0858,1060.450
0.0860,1049.595
0.0862,1053.785
0.0864,1066.355
0.0866,1062.165
0.0868,1051.690
0.0870,1053.785
0.0872,1051.815
0.0874,1053.911
0.0876,1047.500
0.0878,1049.595
0.0880,1062.165
0.0882,1062.545
0.0884,1047.500
0.0886,1047.500
0.0888,1047.500
0.0890,1041.339
0.0892,1047.625
0.0894,1032.589
0.0896,1041.215
0.0898,1032.958
0.0900,1018.170
0.0902,1041.215
0.0904,1060.070
0.0906,1079.054
0.0908,1104.065
0.0910,1102.101
0.0912,1087.694
0.0914,1093.721
0.0916,1093.721
0.0918,1081.149
0.0920,1085.340
0.0922,1112.843
0.0924,1101.970
0.0926,1079.311
0.0928,1089.140
0.0930,1083.115
0.0932,1060.070
0.0934,1047.625
0.0936,1056.006
0.0938,1064.641
0.0940,1057.975
0.0942,1055.880
0.0944,1053.911
0.0946,1049.595
0.0948,1049.595
0.0950,1055.880
0.0952,1066.737
0.0954,1060.070
0.0956,1062.165
0.0958,1068.577
0.0960,1062.292
0.0962,1055.880
0.0964,1064.260
0.0966,1068.577
0.0968,1062.545
0.0970,1066.355
0.0972,1068.833
0.0974,1066.355
0.0976,1058.101
0.0978,1032.835
0.0980,1060.196
0.0982,1047.500
0.0984,1041.215
0.0986,1070.545
0.0988,1095.685
0.0990,1078.925
0.0992,1091.495
0.0994,1098.173
0.0996,1089.790
0.0998,1091.495
0.1000,1099.613
0.1002,1108.387
0.1004,1089.530
0.1006,1089.530
0.1008,1106.292
0.1010,1103.802
0.1012,1089.400
0.1014,1089.790
0.1016,1079.311
0.1018,1060.070
0.1020,1051.690
0.1022,1053.785
0.1024,1053.911
0.1026,1045.405
0.1028,1051.690
0.1030,1068.577
0.1032,1066.737
0.1034,1049.595
0.1036,1056.006
0.1038,1060.196
0.1040,1051.690
0.1042,1047.500
0.1044,1054.162
0.1046,1058.354
0.1048,1055.880
0.1050,1055.880
0.1052,1047.500
0.1054,1045.530
0.1056,1045.530
0.1058,1051.815
0.1060,1047.500
0.1062,1020.387
0.1064,1026.550
0.1066,1041.215
0.1068,1024.455
0.1070,1049.595
0.1072,1085.599
0.1074,1089.400
0.1076,1091.625
0.1078,1095.424
0.1080,1099.875
0.1082,1085.340
0.1084,1083.115
0.1086,1097.911
0.1088,1095.816
0.1090,1091.495
0.1092,1095.685
0.1094,1091.886
0.1096,1074.735
0.1098,1075.120
0.1100,1051.690
0.1102,1051.690
0.1104,1053.785
0.1106,1060.196
0.1108,1064.387
0.1110,1055.880
0.1112,1049.595
0.1114,1058.354
0.1116,1060.196
0.1118,1055.880
0.1120,1062.292
0.1122,1074.863
0.1124,1072.640
0.1126,1054.162
0.1128,1062.292
0.1130,1068.577
0.1132,1060.450
0.1134,1064.387
0.1136,1066.355
0.1138,1073.024
0.1140,1060.070
0.1142,1060.450
0.1144,1056.258
0.1146,1043.310
0.1148,1039.244
0.1150,1038.624
