Time (s),Main Avg Power (mW)
0.0862,2272.532
0.0864,2444.811
0.0866,2354.780
0.0868,2254.220
0.0870,2291.383
0.0872,2314.423
0.0874,2360.501
0.0876,2338.299
0.0878,2327.545
0.0880,2358.407
0.0882,2336.761
0.0884,2308.690
0.0886,2359.815
0.0888,2354.218
0.0890,2362.596
0.0892,2355.061
0.0894,2312.880
0.0896,2297.667
0.0898,2281.455
0.0900,2345.840
0.0902,2354.218
0.0904,2352.124
0.0906,2411.345
0.0908,2344.585
0.0910,2306.045
0.0912,2379.920
0.0914,2520.594
0.0916,2426.010
0.0918,2289.835
0.0920,2338.020
0.0922,2329.640
0.0924,2285.918
0.0926,2277.265
0.0928,2302.405
0.0930,2285.918
0.0932,2258.410
0.0934,2264.695
0.0936,2258.410
0.0938,2256.584
0.0940,2279.360
0.0942,2268.885
0.0944,2270.438
0.0946,2251.588
0.0948,2253.682
0.0950,2297.667
0.0952,2303.950
0.0954,2279.360
0.0956,2262.600
0.0958,2258.410
0.0960,2291.930
0.0962,2281.455
0.0964,2474.165
0.0966,2409.537
0.0968,2379.920
0.0970,2407.155
0.0972,2423.915
0.0974,2384.394
0.0976,2346.400
0.0978,2363.160
0.0980,2336.204
0.0982,2216.510
0.0984,2249.493
0.0986,2349.336
0.0988,2256.584
0.0990,2291.383
0.0992,2291.383
0.0994,2292.203
0.0996,2262.600
0.0998,2264.695
0.1000,2310.785
0.1002,2290.108
0.1004,2279.632
0.1006,2262.600
0.1008,2281.455
0.1010,2298.215
0.1012,2440.093
0.1014,2449.004
0.1016,2327.545
0.1018,2324.340
0.1020,2314.975
0.1022,2309.517
0.1024,2271.793
0.1026,2248.203
0.1028,2298.215
0.1030,2300.584
0.1032,2281.455
0.1034,2278.272
0.1036,2284.368
0.1038,2262.870
0.1040,2281.455
0.1042,2277.265
0.1044,2296.120
0.1046,2258.410
0.1048,2232.737
0.1050,2292.750
0.1052,2285.645
0.1054,2266.790
0.1056,2251.588
0.1058,2248.203
0.1060,2273.075
0.1062,2264.965
0.1064,2435.843
0.1066,2321.260
0.1068,2256.315
0.1070,2320.706
0.1072,2348.775
0.1074,2325.450
0.1076,2283.550
0.1078,2291.383
0.1080,2338.857
0.1082,2325.450
0.1084,2302.405
0.1086,2384.964
0.1088,2312.880
0.1090,2314.975
0.1092,2332.570
0.1094,2308.139
0.1096,2254.220
0.1098,2249.493
0.1100,2293.478
0.1102,2310.785
0.1104,2287.740
0.1106,2264.695
0.1108,2253.682
0.1110,2306.045
0.1112,2283.550
0.1114,2448.420
0.1116,2342.210
0.1118,2283.550
0.1120,2310.785
0.1122,2291.930
0.1124,2283.005
0.1126,2276.722
0.1128,2264.155
0.1130,2323.355
0.1132,2288.559
0.1134,2294.025
0.1136,2281.455
0.1138,2270.980
0.1140,2285.918
0.1142,2254.220
0.1144,2283.822
0.1146,2234.070
0.1148,2245.840
0.1150,2298.215
0.1152,2325.450
0.1154,2314.423
0.1156,2298.489
0.1158,2327.823
0.1160,2325.450
0.1162,2322.801
0.1164,2511.906
0.1166,2356.313
0.1168,2283.550
0.1170,2329.640
0.1172,2342.210
0.1174,2324.895
0.1176,2296.120
0.1178,2306.870
0.1180,2308.690
0.1182,2288.013
0.1184,2279.360
0.1186,2312.880
0.1188,2258.410
0.1190,2294.025
0.1192,2272.532
0.1194,2278.080
0.1196,2258.410
0.1198,2247.399
0.1200,2283.822
0.1202,2280.911
0.1204,2291.930
0.1206,2329.918
0.1208,2268.344
0.1210,2302.680
0.1212,2298.215
0.1214,2482.552
0.1216,2358.407
0.1218,2250.030
0.1220,2285.645
0.1222,2291.930
0.1224,2269.156
0.1226,2223.060
0.1228,2218.076
0.1230,2290.108
0.1232,2232.737
0.1234,2289.835
0.1236,2302.405
0.1238,2285.645
0.1240,2342.489
0.1242,2340.115
0.1244,2323.355
0.1246,2302.405
0.1248,2300.310
0.1250,2326.990
0.1252,2322.801
0.1254,2340.953
0.1256,2301.855
0.1258,2300.310
0.1260,2323.355
0.1262,2312.328
0.1264,2482.552
0.1266,2340.953
0.1268,2271.251
0.1270,2287.740
0.1272,2285.100
0.1274,2285.645
0.1276,2255.777
0.1278,2263.410
0.1280,2296.942
0.1282,2294.025
0.1284,2307.421
0.1286,2381.908
0.1288,2352.966
0.1290,2329.640
0.1292,2311.061
0.1294,2278.816
0.1296,2275.170
0.1298,2279.360
0.1300,2312.880
0.1302,2306.595
0.1304,2270.980
0.1306,2266.790
0.1308,2273.346
0.1310,2275.170
0.1312,2259.219
0.1314,2452.613
0.1316,2363.160
0.1318,2285.645
0.1320,2338.299
0.1322,2327.545
0.1324,2321.260
0.1326,2288.013
0.1328,2316.517
0.1330,2338.020
0.1332,2348.495
0.1334,2314.975
0.1336,2313.156
0.1338,2303.950
0.1340,2332.570
0.1342,2338.020
0.1344,2364.006
0.1346,2399.061
0.1348,2375.730
0.1350,2398.775
0.1352,2352.685
0.1354,2340.115
0.1356,2321.260
0.1358,2289.835
0.1360,2358.407
0.1362,2384.110
0.1364,2499.326
0.1366,2434.390
0.1368,2283.550
0.1370,2348.495
0.1372,2358.407
0.1374,2308.690
0.1376,2314.975
0.1378,2295.572
0.1380,2390.395
0.1382,2317.070
0.1384,2317.070
0.1386,2387.059
0.1388,2259.966
0.1390,2378.109
0.1392,2285.645
0.1394,2300.584
0.1396,2317.070
0.1398,2247.935
0.1400,2342.489
0.1402,2352.685
0.1404,2331.735
0.1406,2388.300
0.1408,2343.746
0.1410,2360.501
0.1412,2411.633
0.1414,2488.842
0.1416,2457.728
0.1418,2327.545
0.1420,2377.825
0.1422,2409.250
0.1424,2331.735
0.1426,2352.966
0.1428,2331.735
0.1430,2312.880
0.1432,2382.015
0.1434,2298.215
0.1436,2314.423
0.1438,2350.590
0.1440,2294.025
0.1442,2350.590
0.1444,2321.260
0.1446,2287.194
0.1448,2334.108
0.1450,2329.640
0.1452,2356.875
0.1454,2335.925
0.1456,2292.930
0.1458,2359.251
0.1460,2325.450
0.1462,2318.612
0.1464,2537.068
0.1466,2337.462
0.1468,2361.910
0.1470,2329.640
0.1472,2338.020
0.1474,2357.156
0.1476,2256.315
0.1478,2306.045
0.1480,2361.065
0.1482,2308.690
0.1484,2386.205
0.1486,2367.632
0.1488,2342.210
0.1490,2400.870
0.1492,2324.895
0.1494,2423.915
0.1496,2338.020
0.1498,2323.355
0.1500,2430.490
0.1502,2358.970
0.1504,2369.559
0.1506,2622.940
0.1508,2314.975
0.1510,2350.590
0.1512,2291.383
0.1514,2117.213
0.1516,1864.550
0.1518,1520.970
0.1520,1550.300
0.1522,1548.390
0.1524,1537.730
0.1526,1535.635
0.1528,1535.635
0.1530,1604.770
0.1532,1552.395
0.1534,1550.300
0.1536,1537.913
0.1538,1525.160
0.1540,1548.205
0.1542,1552.395
0.1544,1795.415
0.1546,1544.199
0.1548,1547.836
