--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    ( 3704): 17976323 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976323 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976332 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976333 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976356 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976357 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976383 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976383 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976412 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976412 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976439 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976440 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976467 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976468 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976495 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976496 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976525 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976526 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976552 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976555 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976579 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976580 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976608 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976609 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976635 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976636 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976664 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976665 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976692 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976693 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976722 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976723 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976748 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976749 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976777 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976797 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976830 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976832 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976838 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976838 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976860 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
