--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  561): 60588 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  561): 60589 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  561): 60589 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 60590 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 60591 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  561): 60591 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  561): 60592 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  561): 60657 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 60657 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 60657 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 60664 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 60716 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 60722 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 60722 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 60733 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 60986 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  561): 60987 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  561): 60987 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  561): 60988 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  561): 60988 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  561): 60989 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  561): 62292 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f0b9b8
V/DBox    (  561): 62299 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  561): 62303 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 62306 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 62306 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 62307 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 62321 + Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  561): 62403 - Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  561): 62404 + Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  561): 62404 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 62405 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 62411 - Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  561): 62421 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 62433 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 63352 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 63358 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 63358 + Lcom/facebook/katana/service/FacebookService; onStart
